"X","Y"
332391.030,7390563.770
332554.830,7390563.750
332555.530,7390564.100
332137.040,7390564.510
332137.190,7390564.380
332261.010,7390564.590
332260.740,7390564.460
332305.340,7390564.360
332307.130,7390564.420
332387.970,7390564.520
332390.060,7390564.520
332390.330,7390564.540
332555.020,7390564.380
332555.810,7390564.170
332260.700,7390565.070
332304.900,7390565.020
332305.060,7390564.640
332305.210,7390564.970
332305.950,7390564.800
332389.180,7390564.990
332388.910,7390564.810
332391.080,7390564.840
332393.480,7390564.660
332393.830,7390564.850
332146.430,7390565.600
332260.540,7390565.450
332261.010,7390565.290
332260.720,7390565.440
332305.510,7390565.470
332389.550,7390565.120
332072.500,7390566.000
332072.430,7390565.850
332073.390,7390565.950
332261.180,7390565.830
332260.810,7390565.770
332261.380,7390565.960
332304.140,7390565.730
332304.410,7390565.990
332393.230,7390565.630
332072.450,7390566.440
332073.160,7390566.600
332073.980,7390566.340
332303.640,7390566.490
332305.020,7390566.430
332305.430,7390566.520
332392.570,7390566.300
332392.800,7390566.320
332073.100,7390566.920
332073.210,7390566.690
332073.300,7390567.000
332073.250,7390566.860
332073.880,7390566.890
332293.430,7390566.940
332303.990,7390566.850
332304.260,7390566.740
332393.870,7390566.840
332071.920,7390567.210
332073.050,7390567.520
332073.610,7390567.320
332073.720,7390567.220
332260.460,7390567.240
332293.000,7390567.530
332304.280,7390567.560
332304.540,7390567.290
332305.030,7390567.310
332304.980,7390567.150
332305.410,7390567.410
332400.800,7390567.420
332540.630,7390567.370
332540.820,7390567.210
332072.580,7390568.020
332072.730,7390568.080
332072.930,7390568.090
332073.170,7390567.680
332073.370,7390567.850
332073.330,7390567.690
332291.180,7390567.790
332302.710,7390567.810
332304.170,7390567.760
332401.230,7390567.720
332402.010,7390567.970
332540.410,7390567.860
332540.800,7390568.090
332071.600,7390568.280
332071.700,7390568.450
332072.570,7390568.240
332072.810,7390568.130
332073.080,7390568.560
332072.990,7390568.390
332073.190,7390568.450
332291.910,7390568.210
332292.920,7390568.430
332303.400,7390568.210
332400.840,7390568.520
332540.910,7390568.220
332541.320,7390568.250
332071.990,7390568.910
332072.120,7390569.080
332072.380,7390568.940
332072.250,7390568.700
332072.550,7390568.690
332072.680,7390568.980
332072.420,7390568.810
332072.700,7390568.950
332135.090,7390569.090
332135.230,7390568.930
332291.330,7390569.000
332292.090,7390568.730
332292.600,7390568.820
332292.530,7390568.720
332302.510,7390568.940
332304.180,7390568.650
332304.360,7390569.100
332399.770,7390569.040
332404.890,7390569.030
332405.200,7390568.980
332407.160,7390568.720
332540.640,7390568.890
332071.080,7390569.320
332071.430,7390569.460
332071.360,7390569.400
332072.640,7390569.330
332072.470,7390569.320
332072.860,7390569.320
332135.260,7390569.350
332292.210,7390569.570
332303.760,7390569.150
332400.540,7390569.310
332401.320,7390569.560
332405.530,7390569.170
332406.930,7390569.240
332407.470,7390569.270
332072.090,7390569.900
332071.940,7390569.830
332071.800,7390569.960
332072.320,7390570.010
332072.260,7390569.850
332135.040,7390569.720
332290.920,7390569.680
332404.100,7390569.770
332404.520,7390569.970
332405.330,7390570.040
332405.970,7390569.770
332406.700,7390569.740
332540.420,7390569.690
332070.820,7390570.390
332071.520,7390570.540
332071.620,7390570.180
332072.360,7390570.390
332072.470,7390570.250
332072.390,7390570.170
332072.210,7390570.140
332134.620,7390570.450
332289.650,7390570.310
332290.090,7390570.380
332290.930,7390570.480
332291.530,7390570.300
332301.510,7390570.590
332303.870,7390570.370
332403.610,7390570.500
332540.060,7390570.320
332540.590,7390570.210
332071.550,7390570.990
332071.640,7390570.900
332071.750,7390570.630
332071.690,7390571.040
332072.040,7390570.800
332071.910,7390571.030
332072.280,7390570.620
332134.380,7390570.760
332290.010,7390570.720
332290.690,7390570.830
332291.520,7390570.920
332301.360,7390571.080
332303.440,7390570.710
332404.510,7390570.860
332404.810,7390570.930
332406.890,7390570.810
332540.100,7390570.690
332540.100,7390571.010
332070.680,7390571.520
332070.490,7390571.370
332071.100,7390571.530
332071.240,7390571.460
332071.640,7390571.370
332071.280,7390571.120
332072.130,7390571.420
332072.030,7390571.360
332072.210,7390571.460
332134.110,7390571.430
332134.220,7390571.230
332134.480,7390571.300
332289.220,7390571.150
332289.460,7390571.600
332290.610,7390571.160
332300.830,7390571.350
332302.480,7390571.260
332302.740,7390571.380
332303.350,7390571.210
332405.130,7390571.120
332406.100,7390571.390
332406.410,7390571.580
332414.090,7390571.450
332539.780,7390571.320
332070.120,7390572.050
332070.270,7390571.860
332071.110,7390571.830
332071.370,7390571.970
332071.360,7390571.940
332071.620,7390571.630
332071.760,7390571.960
332133.940,7390572.050
332289.090,7390571.990
332290.070,7390572.050
332301.520,7390571.760
332539.700,7390571.820
332070.400,7390572.510
332070.210,7390572.470
332071.610,7390572.240
332071.870,7390572.370
332133.980,7390572.410
332133.790,7390572.250
332289.710,7390572.430
332300.600,7390572.180
332301.270,7390572.480
332301.910,7390572.380
332412.510,7390572.450
332413.220,7390572.320
332070.680,7390572.990
332070.930,7390572.940
332071.040,7390572.950
332070.900,7390572.840
332070.880,7390572.890
332070.850,7390572.860
332071.220,7390572.960
332071.350,7390573.040
332288.100,7390572.960
332301.220,7390572.750
332301.830,7390572.750
332412.440,7390572.770
332412.370,7390572.840
332412.930,7390572.910
332413.130,7390572.820
332413.410,7390573.010
332414.410,7390572.680
332414.700,7390572.870
332549.860,7390572.680
332069.490,7390573.450
332069.830,7390573.520
332069.730,7390573.430
332070.330,7390573.590
332071.390,7390573.270
332071.310,7390573.490
332071.440,7390573.120
332071.300,7390573.190
332071.220,7390573.310
332133.320,7390573.570
332133.770,7390573.300
332288.750,7390573.350
332289.840,7390573.510
332300.000,7390573.550
332301.420,7390573.280
332070.150,7390573.880
332070.650,7390574.040
332070.450,7390573.820
332070.340,7390573.890
332070.430,7390573.700
332071.000,7390574.040
332070.740,7390574.000
332288.770,7390573.870
332300.600,7390574.000
332301.080,7390573.660
332301.280,7390573.940
332414.810,7390573.930
332537.460,7390574.100
332537.890,7390573.660
332069.410,7390574.480
332069.350,7390574.480
332070.540,7390574.570
332070.970,7390574.360
332070.990,7390574.370
332070.950,7390574.160
332132.700,7390574.460
332132.980,7390574.350
332288.240,7390574.350
332288.870,7390574.460
332289.370,7390574.320
332300.260,7390574.400
332415.880,7390574.400
332416.460,7390574.510
332537.380,7390574.550
332537.790,7390574.250
332549.150,7390574.290
332048.880,7390574.570
332069.070,7390574.880
332069.980,7390575.070
332070.130,7390574.960
332070.020,7390574.930
332069.980,7390574.930
332070.380,7390575.090
332070.190,7390575.000
332070.230,7390574.930
332070.420,7390574.720
332070.710,7390574.620
332072.150,7390574.950
332132.670,7390575.090
332287.350,7390574.940
332289.180,7390574.730
332300.810,7390574.760
332415.350,7390575.080
332537.920,7390574.650
332538.240,7390574.840
332069.010,7390575.290
332068.980,7390575.360
332069.780,7390575.380
332070.160,7390575.440
332070.450,7390575.580
